Name,Park Code,Region
GEORGE WASHINGTON BIRTHPLACE,GEWA,NER
GEORGE WASHINGTON CARVER,GWCA,MWR
GEORGE WASHINGTON MEMORIAL PARKWAY,GWMP,NCR
GETTYSBURG,GETT,NER
GILA CLIFF DWELLINGS,GICL,IMR
GLACIER,GLAC,IMR
GLACIER BAY,GLBA,AKR
GLEN CANYON,GLCA,IMR
GOLDEN GATE,GOGA,PWR
GOLDEN SPIKE,GOSP,IMR
GOVERNORS ISLAND,GOIS,NER
GRAND CANYON,GRCA,IMR
GRAND CANYON PARASHANT,PARA,PWR
GRAND PORTAGE,GRPO,MWR
GRAND TETON,GRTE,IMR
GRANT-KOHRS RANCH,GRKO,IMR
GREAT BASIN,GRBA,PWR
GREAT EGG HARBOR,GREG,NER
GREAT SAND DUNES,GRSA,IMR
GREAT SMOKY MOUNTAINS,GRSM,SER
GREENBELT,GREE,NCR
GUADALUPE MOUNTAINS,GUMO,IMR
GUILFORD COURTHOUSE,GUCO,SER
GULF ISLANDS,GUIS,SER
HAGERMAN FOSSIL BEDS,HAFO,PWR
HALEAKALA,HALE,PWR
HAMILTON GRANGE NM,HAGR,NER
HAMPTON,HAMP,NER
HARPERS FERRY,HAFE,NCR
HARRIET TUBMAN,HART,NER
HARRIET TUBMAN UNDERGROUND RAILROAD,HATU,NER
HARRY S TRUMAN,HSTR,MWR
HAWAII VOLCANOES,HAVO,PWR
HERBERT HOOVER,HEHO,MWR
HOHOKAM PIMA,PIMA,IMR
HOME OF FRANKLIN D. ROOSEVELT,HOFR,NER
HOMESTEAD,HOME,MWR
HONOULIULI,HONO,PWR
HOPEWELL CULTURE,HOCU,MWR
HOPEWELL FURNACE,HOFU,NER
HORSESHOE BEND,HOBE,SER
HOT SPRINGS,HOSP,MWR
HOVENWEEP,HOVE,IMR
HUBBELL TRADING POST,HUTR,IMR
INDEPENDENCE,INDE,NER
INDIANA DUNES,INDU,MWR
ISLE ROYALE,ISRO,MWR
JAMES A. GARFIELD,JAGA,MWR
JEAN LAFITTE,JELA,SER
JEWEL CAVE,JECA,MWR
JIMMY CARTER,JICA,SER
JOHN DAY FOSSIL BEDS,JODA,PWR
JOHN D. ROCKEFELLER JR,JODR,IMR
JOHN FITZGERALD KENNEDY,JOFI,NER
JOHN MUIR,JOMU,PWR
JOHNSTOWN FLOOD NM,JOFL,NER
JOSHUA TREE,JOTR,PWR
KALAUPAPA,KALA,PWR
KALOKO-HONOKOHAU,KAHO,PWR
KATAHDIN WOODS AND WATERS,KAWW,NER
KATMAI,KATM,AKR
KENAI FJORDS,KEFJ,AKR
KENNESAW MOUNTAIN,KEMO,SER
KEWEENAW,KEWE,MWR
KINGS CANYON,SEKI,PWR
KINGS MOUNTAIN,KIMO,SER
KLONDIKE GOLD RUSH,KLSE,PWR
KNIFE RIVER  INDIAN VILLAGES,KNRI,MWR
KOBUK VALLEY,KOVA,AKR
KOREAN WAR VETERANS,KOWA,NCR
LAKE CHELAN,LACH,PWR
LAKE CLARK,LACL,AKR
LAKE MEAD,LAKE,PWR
LAKE ROOSEVELT,LARO,PWR
LASSEN VOLCANIC,LAVO,PWR
LAVA BEDS,LABE,PWR
LAKE MEREDITH,LAMR,IMR
LEWIS AND CLARK,FOCL,PWR
LINCOLN,LIME,NCR
LINCOLN BOYHOOD,LIBO,MWR
LINCOLN HOME,LIHO,MWR
LITTLE BIGHORN,LIBI,IMR
LITTLE RIVER CANYON,LIRI,SER
LITTLE ROCK CENTRAL HIGH SCHOOL,CHSC,MWR
LONGFELLOW HOUSE-WASHINGTON'S HEADQUARTERS,LONG,NER
LOWELL,LOWE,NER
LYNDON B. JOHNSON,LYJO,IMR
LYNDON BAINES JOHNSON MEMORIAL GROVE ON THE POTOMAC,GWMP,NCR
MAGGIE L. WALKER,MAWA,NER
MAMMOTH CAVE,MACA,SER
MANASSAS,MANA,NCR
MANHATTAN PROJECT,MAPR,IMR
MANZANAR,MANZ,PWR
MARSH-BILLINGS-ROCKEFELLER,MABI,NER
MARTIN LUTHER KING JR.,MALU,SER
MARTIN VAN BUREN,MAVA,NER
MARY MCLEOD BETHUNE COUNCIL HOUSE,MAMC,NCR
MESA VERDE,MEVE,IMR
MINUTE MAN,MIMA,NER
MINUTEMAN MISSILE,MIMI,MWR
MISSISSIPPI NATIONAL RIVER AND RECREATION AREA,MISS,MWR
MISSOURI NATIONAL RECREATIONAL RIVER,MNRR,MWR
MOJAVE,MOJA,PWR
MONOCACY,MONO,NCR
MONTEZUMA CASTLE,MOCA,IMR
MOORES CREEK,MOCR,SER
MORRISTOWN,MORR,NER
MOUNT RAINIER,MORA,PWR
MOUNT RUSHMORE,MORU,MWR
MUIR WOODS,MUWO,PWR
NATCHEZ,NATC,SER
NATCHEZ TRACE NATIONAL SCENIC TRAIL,NATR,SER
NATCHEZ TRACE PARKWAY,NATR,SER
NATIONAL MALL,NAMA,NCR
NATIONAL CAPITAL PARKS - EAST,NACE,NCR
NATIONAL MALL AND MEMORIAL PARKS,NAMA,NCR
MINIDOKA,MIIN,PWR
NATIONAL PARK  OF AMERICAN SAMOA,NPSA,PWR
NATURAL BRIDGES,NABR,IMR
NAVAJO,NAVA,IMR
NEW BEDFORD WHALIN ,NEBE,NER
NEW ORLEANS JAZZ,JAZZ,SER
NEW RIVER GORGE,NERI,NER
NEZ PERCE,NEPE,PWR
NICODEMUS,NICO,MWR
NINETY SIX,NISI,SER
NIOBRARA,NIOB,MWR
NOATAK,NOAT,AKR
NORTH CASCADES,NOCA,PWR
OBED,OBRI,SER
OCMULGEE,OCMU,SER
OLYMPIC,OLYM,PWR
OREGON CAVES,ORCA,PWR
ORGAN PIPE CACTUS,ORPI,IMR
OVERMOUNTAIN VICTORY,OVVI,SER
OZARK NATIONAL SCENIC RIVERWAY,OZAR,MWR
PADRE ISLAND,PAIS,IMR
PALO ALTO,PAAL,IMR
PARASHANT,PARA,PWR
PATERSON GREAT FALLS,PAGR,NER
PEA RIDGE,PERI,MWR
PEARL HARBOR,PERL,PWR
PECOS,PECO,IMR
PENNSYLVANIA AVENUE,PAAV,NCR
PERRY’S VICTORY AND INTERNATIONAL PEACE MEMORIAL,PEVI,MWR
PETERSBURG,PETE,NER
PETRIFIED FOREST,PEFO,IMR
PETROGLYPH,PETR,IMR
PICTURED ROCKS,PIRO,MWR
PIPE SPRING,PISP,IMR
PIPESTONE,PIPE,MWR
PINNACLES,PINN,PWR
PISCATAWAY,PISC,NCR
POINT REYES,PORE,PWR
PU'UHONUA O HONAUNAU,PUHO,PWR
PU'UKOHOLA HEIAU,PUHE,PWR
PORT CHICAGO NAVAL MAGAZINE,POCH,PWR
POTOMAC HERITAGE,POHT,NCR
POVERTY POINT STATE,POPO,SER
PRESIDENT WILLIAM JEFFERSON CLINTON BIRTHPLACE HOME,WICL,MWR
PRINCE WILLIAM FOREST PARK,PRWI,NCR
PULLMAN,PULL,MWR
RAINBOW BRIDGE,RABR,IMR
RECONSTRUCTION ERA,REER,SER
REDWOOD,REDW,PWR
RICHMOND,RICH,NER
RIO GRANDE,RIGR,IMR
RIVER RAISIN,RIRA,MWR
ROCK CREEK,ROCR,NCR
ROCKY MOUNTAIN,ROMO,IMR
ROGER WILLIAMS,ROWI,NER
ROSIE THE RIVETER/WWII HOME FRONT,RORI,PWR
ROSS LAKE,ROLA,PWR
RUSSELL CAVE,RUCA,SER
SAGAMORE HILL,SAHI,NER
SAGUARO,SAGU,IMR
SAINT CROIX,SACN,MWR
SAINT CROIX ISLAND INTERNATIONAL HISTORIC SITE,SACR,NER
SAINT PAUL'S CHURCH,SAPA,NER
SAINT-GAUDENS,SAGA,NER
SALEM MARITIME,SAMA,NER
SALINAS PUEBLO MISSIONS,SAPU,IMR
SALT RIVER BAY,SARI,SER
SAN ANTONIO MISSIONS,SAAN,IMR
SAN FRANCISCO MARITIME,SAFR,PWR
SANTA MONICA MOUNTAINS,SAMO,PWR
SAN JUAN,SAJU,SER
SAN JUAN ISLAND,SAJH,PWR
SEQUOIA,SEKI,PWR
SAND CREEK MASSACRE,SAND,IMR
SARATOGA NATIONAL HISTORICAL PARK,SARA,NER
SAUGUS IRON WORKS,SAIR,NER
SCOTTS BLUFF,SCBL,MWR
SELMA TO MONTGOMERY,SEMO,SER
SHENANDOAH,SHEN,NER
SHILOH,SHIL,SER
SITKA,SITK,AKR
SLEEPING BEAR DUNES,SLBE,MWR
SPRINGFIELD ARMORY,SPAR,NER
STATUE OF LIBERTY AND ELLIS ISLAND,STLI,NER
STEAMTOWN,STEA,NER
STE GENEVIEVE,STGE,MWR
STONES RIVER,STRI,SER
STONEWALL,STON,NER
SUNSET CRATER VOLCANO,SUCR,IMR
TALLGRASS PRAIRIE,TAPR,MWR
THADDEUS KOSCIUSZKO,THKO,NER
THEODORE ROOSEVELT,THRO,MWR
THEODORE ROOSEVELT BIRTHPLACE,THRB,NER
THEODORE ROOSEVELT ISLAND,THIS,NCR
THOMAS EDISON,EDIS,NER
THOMAS JEFFERSON,THJE,NCR
THOMAS STONE,THST,NER
TIMPANOGOS CAVE,TICA,IMR
TIMUCUAN ECOLOGICAL,TIMU,SER
TONTO,TONT,IMR
TULE LAKE,TULE,PWR
